,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation,Ring,Area_to_rooms
9809,28000000.0,Secondary,Каширская,3.0,Moscow,4,95.0,75.0,8.0,5,6,Cosmetic,Third_ring,23.75
9829,38000000.0,Secondary,Аминьевская,10.0,Moscow,4,100.0,46.0,19.0,7,25,Without renovation,Third_ring,25.0
9833,26300000.0,Secondary,Коптево,19.0,Moscow,4,92.0,63.7,10.0,2,17,European-style renovation,Third_ring,23.0
9834,36000000.0,Secondary,Савеловская,12.0,Moscow,4,100.0,65.8,11.6,4,7,Cosmetic,Beyond_rings,25.0
9836,22500000.0,Secondary,Автозаводская,9.0,Moscow,4,80.4,57.7,8.7,6,8,Without renovation,Second_ring,20.1
9837,15000000.0,Secondary,Маяковская,6.0,Moscow,7,37.0,30.0,9.7,10,12,Without renovation,Sadovoe,5.285714285714286
9839,17800000.0,Secondary,Автозаводская,6.0,Moscow,4,82.0,70.0,7.9,2,5,European-style renovation,Second_ring,20.5
9841,13900000.0,Secondary,Бескудниково,12.0,Moscow,4,64.7,47.6,6.0,9,9,Cosmetic,Beyond_rings,16.175
9849,21500000.0,Secondary,Первомайская,18.0,Moscow,4,98.0,70.4,10.0,3,5,Cosmetic,Beyond_rings,24.5
9852,28000000.0,Secondary,Бульвар Дмитрия Донского,12.0,Moscow,4,95.5,55.2,13.6,6,21,Without renovation,Beyond_rings,23.875
9853,43500000.0,Secondary,Боровицкая,12.0,Moscow,4,75.0,60.0,9.0,2,5,European-style renovation,Sadovoe,18.75
9857,37990000.0,Secondary,Народное Ополчение,12.0,Moscow,4,94.5,49.9,14.5,20,5,Without renovation,Third_ring,23.625
9861,39000000.0,Secondary,Аминьевская,11.0,Moscow,4,101.0,47.0,18.6,7,25,Without renovation,Third_ring,25.25
9872,31500000.0,Secondary,Улица Старокачаловская,7.0,Moscow,4,91.3,60.0,8.5,6,14,Designer,Beyond_rings,22.825
9875,43000000.0,Secondary,Киевская,11.0,Moscow,4,116.0,73.0,17.0,2,8,Without renovation,Sadovoe,29.0
9880,38000000.0,Secondary,Аэропорт,11.0,Moscow,4,95.8,60.5,13.0,3,7,European-style renovation,Third_ring,23.95
9884,23000000.0,Secondary,Юго-Восточная,7.0,Moscow,4,97.5,62.4,10.0,21,22,European-style renovation,Beyond_rings,24.375
9885,47799000.0,Secondary,Фили,8.0,Moscow,4,98.0,65.0,13.0,7,31,Without renovation,Third_ring,24.5
9895,27000000.0,Secondary,Рабочий Посёлок,10.0,Moscow,4,86.0,49.0,9.0,1,16,European-style renovation,Beyond_rings,21.5
9908,31000000.0,Secondary,Рабочий Посёлок,7.0,Moscow,5,100.0,52.7,15.0,1,12,European-style renovation,Beyond_rings,20.0
9917,25400000.0,Secondary,Народное Ополчение,12.0,Moscow,4,85.0,53.8,8.0,5,14,Cosmetic,Third_ring,21.25
9920,21200000.0,Secondary,Марк,23.0,Moscow,4,103.0,64.0,10.3,6,22,Cosmetic,Beyond_rings,25.75
9924,23500000.0,Secondary,Кожуховская,6.0,Moscow,4,100.2,67.5,8.0,5,7,Cosmetic,Third_ring,25.05
9925,36000000.0,Secondary,ЦСКА,11.0,Moscow,4,100.0,66.0,12.0,4,17,European-style renovation,Second_ring,25.0
9926,28500000.0,Secondary,Беломорская,12.0,Moscow,4,111.2,80.0,11.2,17,19,Cosmetic,Beyond_rings,27.8
9928,33500000.0,Secondary,Водный стадион,11.0,Moscow,4,95.5,50.4,14.5,25,29,Without renovation,Beyond_rings,23.875
9929,33500000.0,Secondary,Новаторская,13.0,Moscow,4,102.8,54.1,15.1,20,22,European-style renovation,Third_ring,25.7
9931,20900000.0,Secondary,Красный Балтиец,11.0,Moscow,4,73.7,51.4,8.8,2,5,Without renovation,Third_ring,18.425
9932,33000000.0,Secondary,Парк Победы,12.0,Moscow,4,90.0,60.0,15.0,1,7,Designer,Third_ring,22.5
9938,24990000.0,Secondary,Улица Скобелевская,7.0,Moscow,5,115.5,66.2,14.0,8,16,Cosmetic,Beyond_rings,23.1
9941,30000000.0,Secondary,Аэропорт,11.0,Moscow,4,71.8,50.0,8.0,6,7,Without renovation,Third_ring,17.95
9948,40000000.0,Secondary,Фили,18.0,Moscow,4,130.7,74.6,18.7,11,28,Cosmetic,Third_ring,32.675
9952,40000000.0,Secondary,Народное Ополчение,12.0,Moscow,4,108.4,76.0,16.0,11,5,Without renovation,Third_ring,27.1
9956,47500000.0,Secondary,Спартак,12.0,Moscow,4,113.3,67.9,15.0,13,26,Without renovation,Beyond_rings,28.325
9957,35000000.0,Secondary,Тульская,11.0,Moscow,4,62.0,43.0,10.0,6,6,Designer,Second_ring,15.5
9959,15000000.0,Secondary,Новогиреево,17.0,Moscow,4,63.0,46.7,6.0,6,9,Cosmetic,Beyond_rings,15.75
9969,47990000.0,Secondary,Киевская,9.0,Moscow,4,106.6,55.1,13.0,2,12,Cosmetic,Sadovoe,26.65
9971,19000000.0,Secondary,Менделеевская,9.0,Moscow,4,61.6,42.7,7.9,1,4,Without renovation,Second_ring,15.4
9976,21000000.0,Secondary,Окружная,4.0,Moscow,4,95.6,68.5,7.8,5,5,Cosmetic,Third_ring,23.9
9980,26500000.0,Secondary,Щелковская,12.0,Moscow,4,101.4,58.4,10.1,16,16,European-style renovation,Beyond_rings,25.35
9982,22900000.0,Secondary,Чертановская,12.0,Moscow,4,92.5,62.0,10.0,3,17,European-style renovation,Beyond_rings,23.125
9983,45000000.0,Secondary,Парк Победы,6.0,Moscow,4,105.7,74.2,9.7,4,8,Without renovation,Third_ring,26.425
9984,30000000.0,Secondary,Красносельская,4.0,Moscow,4,101.4,70.7,13.3,5,12,Cosmetic,Second_ring,25.35
9986,42000000.0,Secondary,Динамо,8.0,Moscow,4,90.0,70.0,10.0,8,21,Without renovation,Second_ring,22.5
9989,34500000.0,Secondary,Красносельская,4.0,Moscow,4,101.4,70.7,13.3,5,12,Cosmetic,Second_ring,25.35
9995,38000000.0,Secondary,Павелецкая,8.0,Moscow,4,83.8,60.4,8.0,4,5,Without renovation,Sadovoe,20.95
9996,41590000.0,Secondary,Технопарк,11.0,Moscow,4,104.8,55.1,15.3,14,15,Without renovation,Third_ring,26.2
9997,32000000.0,Secondary,Парк Победы,6.0,Moscow,4,88.0,65.0,10.0,6,8,European-style renovation,Third_ring,22.0
9998,40000000.0,Secondary,Чистые пруды,11.0,Moscow,4,79.1,60.0,7.0,2,3,Without renovation,Sadovoe,19.775
10000,19600000.0,Secondary,Калужская,21.0,Moscow,4,70.7,49.5,8.5,16,16,European-style renovation,Third_ring,17.675
10008,32999000.0,Secondary,Улица 1905 года,13.0,Moscow,4,91.3,72.5,7.9,1,5,Cosmetic,Second_ring,22.825
10011,31900000.0,Secondary,Таганская,12.0,Moscow,4,96.9,73.1,10.0,2,5,Without renovation,Sadovoe,24.225
10018,37000000.0,Secondary,Проспект Мира,1.0,Moscow,4,94.5,62.5,13.0,3,7,European-style renovation,Beyond_rings,23.625
10021,17000000.0,Secondary,Отрадное,22.0,Moscow,4,78.1,52.0,9.0,9,16,Designer,Beyond_rings,19.525
10022,39000000.0,Secondary,Красные ворота,6.0,Moscow,6,97.7,73.5,8.0,3,3,Without renovation,Sadovoe,16.283333333333335
10029,37500000.0,Secondary,Аминьевская,13.0,Moscow,4,101.9,74.6,7.3,10,25,Without renovation,Third_ring,25.475
10031,39500000.0,Secondary,Спортивная,4.0,Moscow,4,68.7,48.5,10.0,3,5,Cosmetic,Second_ring,17.175
10038,23500000.0,Secondary,Улица Скобелевская,8.0,Moscow,5,120.0,65.0,14.0,1,12,Cosmetic,Beyond_rings,24.0
10039,25000000.0,Secondary,Савеловская,12.0,Moscow,4,100.0,52.7,14.9,5,5,Without renovation,Beyond_rings,25.0
10044,21000000.0,Secondary,Отрадное,9.0,Moscow,4,90.0,57.0,10.0,1,12,Cosmetic,Beyond_rings,22.5
10047,33356000.0,Secondary,Бутырская ,21.0,Moscow,4,107.6,56.6,22.0,3,8,Without renovation,Beyond_rings,26.9
10056,22999000.0,Secondary,Академическая,16.0,Moscow,4,73.2,51.0,9.0,2,5,Cosmetic,Third_ring,18.3
10060,24000000.0,Secondary,Некрасовка,19.0,Moscow,4,96.0,53.8,13.8,23,23,European-style renovation,Beyond_rings,24.0
10062,26000000.0,Secondary,Домодедовская,11.0,Moscow,4,99.1,63.8,10.0,22,22,Cosmetic,Beyond_rings,24.775
